ID;Nome e cognome;Email (chiave);Tipologia stakeholder;Regione;Canale di ingaggio;In database DEM
1104;Lucia Cardone;lucia.cardone@example.org;HCP - Diabetologo;Sicilia;Database DEM;true
1105;Paolo Corsi;paolo.corsi@example.org;HCP - Medico di medicina generale;Piemonte;Database DEM;true
1106;Teresa Damico;teresa.damico@example.org;HCP - Diabetologo;Lazio;Database DEM;true
1107;Tommaso Costa;tommaso.costa@example.org;HCP - Diabetologo;Campania;Database DEM;true
1108;Giuseppe Fumagalli;giuseppe.fumagalli@example.org;Altro / Industry;Sicilia;Database DEM;true
1109;Rosanna Sala;rosanna.sala@example.org;HCP - Medico di medicina generale;Abruzzo;Database DEM;true
1110;Barbara Lorenzi;barbara.lorenzi@example.org;HCP - Infermiere / Educatore;Veneto;Database DEM;true
1111;Rosanna Caruso;rosanna.caruso@example.org;HCP - Endocrinologo;Liguria;Database DEM;true
1112;Andrea Romano;andrea.romano@example.org;HCP - Diabetologo;Liguria;Database DEM;true
1113;Federica Neri;federica.neri@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1114;Monica Mariani;monica.mariani@example.org;HCP - Diabetologo;Marche;Database DEM;true
1115;Marta Palmieri;marta.palmieri@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
1116;Filippo Mancini;filippo.mancini@example.org;HCP - Medico di medicina generale;Lombardia;Database DEM;true
1117;Jacopo Barbieri;jacopo.barbieri@example.org;HCP - Medico di medicina generale;Piemonte;Database DEM;true
1118;Simone Rizzo;simone.rizzo@example.org;HCP - Infermiere / Educatore;Lazio;Database DEM;true
1119;Carlo Ferrara;carlo.ferrara@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
1120;Gianluca Leone;gianluca.leone@example.org;HCP - Diabetologo;Abruzzo;Database DEM;true
1121;Gabriele Franco;gabriele.franco@example.org;HCP - Diabetologo;Campania;Database DEM;true
1122;Elena Benedetti;elena.benedetti@example.org;HCP - Diabetologo;Calabria;Database DEM;true
1123;Viola Fontana;viola.fontana@example.org;HCP - Diabetologo;Sicilia;Database DEM;true
1124;Irene Barbieri;irene.barbieri@example.org;HCP - Diabetologo;Campania;Database DEM;true
1125;Valeria Montanari;valeria.montanari@example.org;HCP - Endocrinologo;Emilia-Romagna;Database DEM;true
1126;Viola Testa;viola.testa@example.org;HCP - Diabetologo;Veneto;Database DEM;true
1127;Anna Vitale;anna.vitale@example.org;HCP - Infermiere / Educatore;Lazio;Database DEM;true
1128;Gianluca Riva;gianluca.riva@example.org;Altro / Industry;Puglia;Database DEM;true
1129;Filippo Gatti;filippo.gatti@example.org;HCP - Medico di medicina generale;Veneto;Database DEM;true
1130;Marco Balestra;marco.balestra@example.org;Farmacia ospedaliera;Emilia-Romagna;Database DEM;true
1131;Federico Montanari;federico.montanari@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1132;Ilaria Martelli;ilaria.martelli@example.org;HCP - Infermiere / Educatore;Campania;Database DEM;true
1133;Laura Balestra;laura.balestra@example.org;Studio medico / Ambulatorio;Puglia;Database DEM;true
1134;Irene Marini;irene.marini@example.org;HCP - Infermiere / Educatore;Campania;Database DEM;true
1135;Cristina Martini;cristina.martini@example.org;Studio medico / Ambulatorio;Lazio;Database DEM;true
1136;Manuela Leone;manuela.leone@example.org;HCP - Diabetologo;Puglia;Database DEM;true
1137;Anna Montanari;anna.montanari@example.org;HCP - Medico di medicina generale;Lombardia;Database DEM;true
1138;Luca Pellegrini;luca.pellegrini@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
1139;Samuele Negri;samuele.negri@example.org;HCP - Endocrinologo;Veneto;Database DEM;true
1140;Sofia Gatti;sofia.gatti@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
1141;Sara Parisi;sara.parisi@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
1142;Giorgia Innocenti;giorgia.innocenti@example.org;HCP - Medico di medicina generale;Veneto;Database DEM;true
1143;Valeria Volpe;valeria.volpe@example.org;HCP - Endocrinologo;Marche;Database DEM;true
1144;Luca Vitale;luca.vitale@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
1145;Matteo Lombardi;matteo.lombardi@example.org;HCP - Infermiere / Educatore;Campania;Database DEM;true
1146;Ludovica Sala;ludovica.sala@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
1147;Michela Martini;michela.martini@example.org;Direzione sanitaria;Campania;Database DEM;true
1148;Beatrice Denicola;beatrice.denicola@example.org;Altro / Industry;Emilia-Romagna;Database DEM;true
1149;Ilaria Fiore;ilaria.fiore@example.org;HCP - Medico di medicina generale;Liguria;Database DEM;true
1150;Lucia Denicola;lucia.denicola@example.org;HCP - Diabetologo;Calabria;Database DEM;true
1151;Ludovica Bianco;ludovica.bianco@example.org;Studio medico / Ambulatorio;Emilia-Romagna;Database DEM;true
1152;Viola Toscano;viola.toscano@example.org;Altro / Industry;Sicilia;Database DEM;true
1153;Ludovica Caputo;ludovica.caputo@example.org;HCP - Endocrinologo;Marche;Database DEM;true
1154;Simone Giuliani;simone.giuliani@example.org;HCP - Medico di medicina generale;Emilia-Romagna;Database DEM;true
1155;Samuele Bianco;samuele.bianco@example.org;Studio medico / Ambulatorio;Toscana;Database DEM;true
1156;Jacopo Bacci;jacopo.bacci@example.org;Altro / Industry;Emilia-Romagna;Database DEM;true
1157;Giovanni Neri;giovanni.neri@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
1158;Beatrice Costa;beatrice.costa@example.org;HCP - Diabetologo;Puglia;Database DEM;true
1159;Emanuele Ferrari;emanuele.ferrari@example.org;Altro / Industry;Veneto;Database DEM;true
1160;Anna Guerra;anna.guerra@example.org;Farmacia ospedaliera;Puglia;Database DEM;true
1161;Vittorio Pesce;vittorio.pesce@example.org;HCP - Diabetologo;Campania;Database DEM;true
1162;Paola Toscano;paola.toscano@example.org;HCP - Diabetologo;Liguria;Database DEM;true
1163;Ludovica Castelli;ludovica.castelli@example.org;Farmacia ospedaliera;Campania;Database DEM;true
1164;Marco Lorenzi;marco.lorenzi@example.org;Studio medico / Ambulatorio;Lazio;Database DEM;true
1165;Beatrice Fiore;beatrice.fiore@example.org;HCP - Infermiere / Educatore;Liguria;Database DEM;true
1166;Daniele Milani;daniele.milani@example.org;HCP - Diabetologo;Veneto;Database DEM;true
1167;Marta Gentile;marta.gentile@example.org;HCP - Diabetologo;Abruzzo;Database DEM;true
1168;Cristina Santoro;cristina.santoro@example.org;HCP - Diabetologo;Marche;Database DEM;true
1169;Giorgio Pisani;giorgio.pisani@example.org;HCP - Infermiere / Educatore;Liguria;Database DEM;true
1170;Daniele Zanetti;daniele.zanetti@example.org;HCP - Infermiere / Educatore;Sicilia;Database DEM;true
1171;Elisa Benedetti;elisa.benedetti@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1172;Beatrice Salerno;beatrice.salerno@example.org;HCP - Diabetologo;Campania;Database DEM;true
1173;Jacopo Castelli;jacopo.castelli@example.org;Altro / Industry;Marche;Database DEM;true
1174;Martina Parisi;martina.parisi@example.org;HCP - Diabetologo;Campania;Database DEM;true
1175;Lucia Esposito;lucia.esposito@example.org;HCP - Endocrinologo;Lazio;Database DEM;true
1176;Claudia Galli;claudia.galli@example.org;Altro / Industry;Calabria;Database DEM;true
1177;Federica Grassi;federica.grassi@example.org;Studio medico / Ambulatorio;Puglia;Database DEM;true
1178;Luigi Fabbri;luigi.fabbri@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
1179;Ludovica Damico;ludovica.damico@example.org;HCP - Infermiere / Educatore;Sicilia;Database DEM;true
1180;Margherita Pisani;margherita.pisani@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
1181;Sara Moretti;sara.moretti@example.org;HCP - Endocrinologo;Sardegna;Database DEM;true
1182;Paola Melchiorre;paola.melchiorre@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
1183;Sabrina Mariani;sabrina.mariani@example.org;Studio medico / Ambulatorio;Piemonte;Database DEM;true
1184;Nicola Mancini;nicola.mancini@example.org;HCP - Medico di medicina generale;Lombardia;Database DEM;true
1185;Giorgio Sala;giorgio.sala@example.org;HCP - Medico di medicina generale;Puglia;Database DEM;true
1186;Valeria Orlando;valeria.orlando@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
1187;Serena Santoro;serena.santoro@example.org;HCP - Diabetologo;Sicilia;Database DEM;true
1188;Alessandro Innocenti;alessandro.innocenti@example.org;HCP - Diabetologo;Puglia;Database DEM;true
1189;Ludovica Fontana;ludovica.fontana@example.org;Studio medico / Ambulatorio;Lazio;Database DEM;true
1190;Claudia Martelli;claudia.martelli@example.org;Direzione sanitaria;Marche;Database DEM;true
1191;Giorgia Milani;giorgia.milani@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
1192;Maria Conte;maria.conte@example.org;Altro / Industry;Emilia-Romagna;Database DEM;true
1193;Andrea Cavallo;andrea.cavallo@example.org;Studio medico / Ambulatorio;Lazio;Database DEM;true
1194;Gianluca Parisi;gianluca.parisi@example.org;Farmacia ospedaliera;Lazio;Database DEM;true
1195;Tommaso Negri;tommaso.negri@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
1196;Matteo Conte;matteo.conte@example.org;HCP - Infermiere / Educatore;Toscana;Database DEM;true
1197;Filippo Carbone;filippo.carbone@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
1198;Susanna Franco;susanna.franco@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
1199;Marta Cattaneo;marta.cattaneo@example.org;Altro / Industry;Lazio;Database DEM;true
1200;Giulio Fumagalli;giulio.fumagalli@example.org;HCP - Diabetologo;Veneto;Database DEM;true
1201;Stefano Bellini;stefano.bellini@example.org;Altro / Industry;Liguria;Database DEM;true
1202;Nicola Grassi;nicola.grassi@example.org;HCP - Infermiere / Educatore;Veneto;Database DEM;true
1203;Claudia Orlando;claudia.orlando@example.org;HCP - Infermiere / Educatore;Piemonte;Database DEM;true
1204;Michela Bonetti;michela.bonetti@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
1205;Davide Giuliani;davide.giuliani@example.org;HCP - Diabetologo;Campania;Database DEM;true
1206;Raffaella Testa;raffaella.testa@example.org;HCP - Diabetologo;Liguria;Database DEM;true
1207;Jacopo Marini;jacopo.marini@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1208;Federico Neri;federico.neri@example.org;HCP - Medico di medicina generale;Piemonte;Database DEM;true
1209;Sabrina Melchiorre;sabrina.melchiorre@example.org;HCP - Endocrinologo;Puglia;Database DEM;true
1210;Luigi Orlando;luigi.orlando@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
1211;Daniela Innocenti;daniela.innocenti@example.org;HCP - Diabetologo;Friuli-Venezia Giulia;Database DEM;true
1212;Teresa Toscano;teresa.toscano@example.org;HCP - Endocrinologo;Sicilia;Database DEM;true
1213;Antonio Pesce;antonio.pesce@example.org;HCP - Medico di medicina generale;Lombardia;Database DEM;true
1214;Giulia Pagano;giulia.pagano@example.org;HCP - Diabetologo;Puglia;Database DEM;true
1215;Laura Pesce;laura.pesce@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
1216;Cristina Fontana;cristina.fontana@example.org;HCP - Endocrinologo;Puglia;Database DEM;true
1217;Claudia Nardi;claudia.nardi@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1218;Matteo Silvestri;matteo.silvestri@example.org;HCP - Endocrinologo;Sardegna;Database DEM;true
1219;Laura Farina;laura.farina@example.org;HCP - Medico di medicina generale;Piemonte;Database DEM;true
1220;Mauro Desantis;mauro.desantis@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1221;Mauro Pagano;mauro.pagano@example.org;HCP - Diabetologo;Veneto;Database DEM;true
1222;Claudia Manfredi;claudia.manfredi@example.org;Altro / Industry;Puglia;Database DEM;true
1223;Martina Messina;martina.messina@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
1224;Stefano Bruno;stefano.bruno@example.org;HCP - Infermiere / Educatore;Emilia-Romagna;Database DEM;true
1225;Sabrina Bonetti;sabrina.bonetti@example.org;HCP - Diabetologo;Puglia;Database DEM;true
1226;Rosanna Castelli;rosanna.castelli@example.org;Studio medico / Ambulatorio;Emilia-Romagna;Database DEM;true
1227;Michela Santoro;michela.santoro@example.org;HCP - Diabetologo;Lazio;Database DEM;true
1228;Anna Iacobelli;anna.iacobelli@example.org;HCP - Diabetologo;Veneto;Database DEM;true
1229;Gianluca Longo;gianluca.longo@example.org;HCP - Endocrinologo;Puglia;Database DEM;true
1230;Roberta Cerri;roberta.cerri@example.org;HCP - Endocrinologo;Lazio;Database DEM;true
1231;Simone Caputo;simone.caputo@example.org;HCP - Diabetologo;Lazio;Database DEM;true
1232;Ilaria Amato;ilaria.amato@example.org;HCP - Medico di medicina generale;Veneto;Database DEM;true
1233;Sabrina Messina;sabrina.messina@example.org;HCP - Medico di medicina generale;Campania;Database DEM;true
1234;Simone Cerri;simone.cerri@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
1235;Luigi Bonetti;luigi.bonetti@example.org;Direzione sanitaria;Veneto;Database DEM;true
1236;Giorgia Bellini;giorgia.bellini@example.org;Direzione sanitaria;Abruzzo;Database DEM;true
1237;Giorgia Greco;giorgia.greco@example.org;HCP - Medico di medicina generale;Lombardia;Database DEM;true
1238;Vincenzo Sorrentino;vincenzo.sorrentino@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
1239;Vittorio Castelli;vittorio.castelli@example.org;HCP - Diabetologo;Sicilia;Database DEM;true
1240;Silvia Ricci;silvia.ricci@example.org;HCP - Medico di medicina generale;Toscana;Database DEM;true
1241;Caterina Fiore;caterina.fiore@example.org;Studio medico / Ambulatorio;Puglia;Database DEM;true
1242;Michela Ariemma;michela.ariemma@example.org;HCP - Endocrinologo;Toscana;Database DEM;true
1243;Marta Desantis;marta.desantis@example.org;HCP - Diabetologo;Veneto;Database DEM;true
1244;Caterina Agostini;caterina.agostini@example.org;Altro / Industry;Lazio;Database DEM;true
1245;Andrea Rizzo;andrea.rizzo@example.org;HCP - Medico di medicina generale;Campania;Database DEM;true
1246;Martina Bruno;martina.bruno@example.org;HCP - Infermiere / Educatore;Toscana;Database DEM;true
1247;Carlo Fontana;carlo.fontana@example.org;HCP - Medico di medicina generale;Friuli-Venezia Giulia;Database DEM;true
1248;Ilaria Sala;ilaria.sala@example.org;HCP - Diabetologo;Veneto;Database DEM;true
1249;Giorgio Iacobelli;giorgio.iacobelli@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
1250;Francesca Zanini;francesca.zanini@example.org;HCP - Medico di medicina generale;Toscana;Database DEM;true
1251;Jacopo Ricci;jacopo.ricci@example.org;Direzione sanitaria;Lazio;Database DEM;true
1252;Angela Mancini;angela.mancini@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
1253;Valeria Marchetti;valeria.marchetti@example.org;HCP - Diabetologo;Abruzzo;Database DEM;true
1254;Raffaella Riva;raffaella.riva@example.org;Farmacia ospedaliera;Veneto;Database DEM;true
1255;Teresa Rossi;teresa.rossi@example.org;HCP - Diabetologo;Puglia;Database DEM;true
1256;Massimo Denicola;massimo.denicola@example.org;HCP - Diabetologo;Toscana;Database DEM;true
1257;Caterina Iacobelli;caterina.iacobelli@example.org;Direzione sanitaria;Lombardia;Database DEM;true
1258;Daniele Iacobelli;daniele.iacobelli@example.org;HCP - Endocrinologo;Lazio;Database DEM;true
1259;Giovanni Gentile;giovanni.gentile@example.org;HCP - Medico di medicina generale;Lombardia;Database DEM;true
1260;Giorgia Nardi;giorgia.nardi@example.org;HCP - Diabetologo;Abruzzo;Database DEM;true
1261;Giovanni Manfredi;giovanni.manfredi@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
1262;Giovanni Fontana;giovanni.fontana@example.org;Altro / Industry;Piemonte;Database DEM;true
1263;Anna Borghi;anna.borghi@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1264;Chiara Cattaneo;chiara.cattaneo@example.org;HCP - Endocrinologo;Veneto;Database DEM;true
1265;Marta Melchiorre;marta.melchiorre@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
1266;Elisa Gallo;elisa.gallo@example.org;HCP - Medico di medicina generale;Emilia-Romagna;Database DEM;true
1267;Luigi Franco;luigi.franco@example.org;HCP - Medico di medicina generale;Calabria;Database DEM;true
1268;Carlo Mancini;carlo.mancini@example.org;HCP - Medico di medicina generale;Puglia;Database DEM;true
1269;Giovanna Martini;giovanna.martini@example.org;HCP - Endocrinologo;Calabria;Database DEM;true
1270;Raffaella Parisi;raffaella.parisi@example.org;HCP - Medico di medicina generale;Puglia;Database DEM;true
1271;Teresa Perini;teresa.perini@example.org;HCP - Diabetologo;Calabria;Database DEM;true
1272;Marta Innocenti;marta.innocenti@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
1273;Federico Bellini;federico.bellini@example.org;HCP - Diabetologo;Campania;Database DEM;true
1274;Viola Cirillo;viola.cirillo@example.org;HCP - Medico di medicina generale;Puglia;Database DEM;true
1275;Marco Greco;marco.greco@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
1276;Martina Antonelli;martina.antonelli@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
1277;Lorenzo Colombo;lorenzo.colombo@example.org;HCP - Endocrinologo;Campania;Database DEM;true
1278;Davide Vitale;davide.vitale@example.org;Studio medico / Ambulatorio;Lazio;Database DEM;true
1279;Giacomo Damico;giacomo.damico@example.org;HCP - Medico di medicina generale;Emilia-Romagna;Database DEM;true
1280;Anna Ferretti;anna.ferretti@example.org;HCP - Diabetologo;Campania;Database DEM;true
1281;Chiara Cavallo;chiara.cavallo@example.org;HCP - Medico di medicina generale;Umbria;Database DEM;true
1282;Lorenzo Fontana;lorenzo.fontana@example.org;HCP - Diabetologo;Toscana;Database DEM;true
1283;Francesca Cirillo;francesca.cirillo@example.org;Altro / Industry;Campania;Database DEM;true
1284;Roberta Russo;roberta.russo@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
1285;Lucia Ariemma;lucia.ariemma@example.org;HCP - Medico di medicina generale;Abruzzo;Database DEM;true
1286;Lorenzo Barbieri;lorenzo.barbieri@example.org;HCP - Medico di medicina generale;Marche;Database DEM;true
1287;Giorgia Melchiorre;giorgia.melchiorre@example.org;HCP - Diabetologo;Toscana;Database DEM;true
1288;Luigi Leone;luigi.leone@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
1289;Rosanna Borghi;rosanna.borghi@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
1290;Barbara Farina;barbara.farina@example.org;HCP - Medico di medicina generale;Puglia;Database DEM;true
1291;Giovanni Bruni;giovanni.bruni@example.org;HCP - Medico di medicina generale;Puglia;Database DEM;true
1292;Daniela Bernardi;daniela.bernardi@example.org;HCP - Infermiere / Educatore;Puglia;Database DEM;true
1293;Filippo Bruno;filippo.bruno@example.org;Studio medico / Ambulatorio;Piemonte;Database DEM;true
1294;Barbara Cardone;barbara.cardone@example.org;HCP - Medico di medicina generale;Sicilia;Database DEM;true
1295;Claudio Moretti;claudio.moretti@example.org;HCP - Infermiere / Educatore;Friuli-Venezia Giulia;Database DEM;true
1296;Vincenzo Marchetti;vincenzo.marchetti@example.org;Altro / Industry;Campania;Database DEM;true
1297;Sabrina Lorenzi;sabrina.lorenzi@example.org;HCP - Medico di medicina generale;Lombardia;Database DEM;true
1298;Jacopo Costa;jacopo.costa@example.org;HCP - Medico di medicina generale;Toscana;Database DEM;true
1299;Paola Conte;paola.conte@example.org;HCP - Infermiere / Educatore;Piemonte;Database DEM;true
1300;Michela Grassi;michela.grassi@example.org;HCP - Infermiere / Educatore;Marche;Database DEM;true
1301;Marta Costa;marta.costa@example.org;HCP - Endocrinologo;Piemonte;Database DEM;true
1302;Maria Negri;maria.negri@example.org;Farmacia ospedaliera;Abruzzo;Database DEM;true
1303;Ilaria Fumagalli;ilaria.fumagalli@example.org;HCP - Medico di medicina generale;Sicilia;Database DEM;true
1304;Valeria Bruni;valeria.bruni@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1305;Serena Benedetti;serena.benedetti@example.org;HCP - Endocrinologo;Emilia-Romagna;Database DEM;true
1306;Valeria Valente;valeria.valente@example.org;HCP - Infermiere / Educatore;Liguria;Database DEM;true
1307;Margherita Fabbri;margherita.fabbri@example.org;HCP - Endocrinologo;Emilia-Romagna;Database DEM;true
1308;Pietro Gatti;pietro.gatti@example.org;HCP - Medico di medicina generale;Toscana;Database DEM;true
1309;Gabriele Salerno;gabriele.salerno@example.org;HCP - Infermiere / Educatore;Toscana;Database DEM;true
1310;Marco Carbone;marco.carbone@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
1311;Beatrice Bianco;beatrice.bianco@example.org;HCP - Infermiere / Educatore;Lazio;Database DEM;true
1312;Ilaria Volpe;ilaria.volpe@example.org;HCP - Diabetologo;Campania;Database DEM;true
1313;Vincenzo Damico;vincenzo.damico@example.org;Farmacia ospedaliera;Campania;Database DEM;true
1314;Viola Landi;viola.landi@example.org;HCP - Endocrinologo;Piemonte;Database DEM;true
1315;Massimo Bruni;massimo.bruni@example.org;HCP - Medico di medicina generale;Campania;Database DEM;true
1316;Emanuele Sartori;emanuele.sartori@example.org;HCP - Medico di medicina generale;Campania;Database DEM;true
1317;Luca Morelli;luca.morelli@example.org;HCP - Endocrinologo;Lazio;Database DEM;true
1318;Viola Ferrari;viola.ferrari@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1319;Mauro Pesce;mauro.pesce@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
1320;Barbara Marini;barbara.marini@example.org;HCP - Diabetologo;Sicilia;Database DEM;true
1321;Laura Grassi;laura.grassi@example.org;Studio medico / Ambulatorio;Campania;Database DEM;true
1322;Carlo Landi;carlo.landi@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1323;Emanuele Martini;emanuele.martini@example.org;HCP - Diabetologo;Marche;Database DEM;true
1324;Massimo Fabbri;massimo.fabbri@example.org;HCP - Medico di medicina generale;Sicilia;Database DEM;true
1325;Daniele Balestra;daniele.balestra@example.org;HCP - Infermiere / Educatore;Abruzzo;Database DEM;true
1326;Silvia Silvestri;silvia.silvestri@example.org;HCP - Infermiere / Educatore;Campania;Database DEM;true
1327;Giuseppe Lombardi;giuseppe.lombardi@example.org;Altro / Industry;Piemonte;Database DEM;true
1328;Roberto Mariani;roberto.mariani@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1329;Simone Neri;simone.neri@example.org;Studio medico / Ambulatorio;Sicilia;Database DEM;true
1330;Giovanna Fumagalli;giovanna.fumagalli@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
1331;Alessandro Guerra;alessandro.guerra@example.org;HCP - Infermiere / Educatore;Emilia-Romagna;Database DEM;true
1332;Lucia Carbone;lucia.carbone@example.org;HCP - Medico di medicina generale;Sicilia;Database DEM;true
1333;Giovanni Colombo;giovanni.colombo@example.org;HCP - Endocrinologo;Campania;Database DEM;true
1334;Viola Pesce;viola.pesce@example.org;HCP - Infermiere / Educatore;Campania;Database DEM;true
1335;Beatrice Guerra;beatrice.guerra@example.org;HCP - Infermiere / Educatore;Marche;Database DEM;true
1336;Susanna Ferrara;susanna.ferrara@example.org;Studio medico / Ambulatorio;Friuli-Venezia Giulia;Database DEM;true
1337;Riccardo Ariemma;riccardo.ariemma@example.org;Studio medico / Ambulatorio;Emilia-Romagna;Database DEM;true
1338;Giacomo Pagano;giacomo.pagano@example.org;HCP - Diabetologo;Sardegna;Database DEM;true
1339;Claudia Amato;claudia.amato@example.org;HCP - Medico di medicina generale;Lombardia;Database DEM;true
1340;Luca Zanini;luca.zanini@example.org;HCP - Medico di medicina generale;Veneto;Database DEM;true
1341;Cristina Esposito;cristina.esposito@example.org;Altro / Industry;Lazio;Database DEM;true
1342;Silvia Giordano;silvia.giordano@example.org;Farmacia ospedaliera;Puglia;Database DEM;true
1343;Elena Rossi;elena.rossi@example.org;HCP - Diabetologo;Friuli-Venezia Giulia;Database DEM;true
1344;Claudio Cavallo;claudio.cavallo@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
1345;Antonio Longo;antonio.longo@example.org;Altro / Industry;Sicilia;Database DEM;true
1346;Carlo Agostini;carlo.agostini@example.org;HCP - Infermiere / Educatore;Sicilia;Database DEM;true
1347;Caterina Manfredi;caterina.manfredi@example.org;HCP - Infermiere / Educatore;Marche;Database DEM;true
1348;Elisa Fumagalli;elisa.fumagalli@example.org;HCP - Infermiere / Educatore;Liguria;Database DEM;true
1349;Maria Benedetti;maria.benedetti@example.org;HCP - Endocrinologo;Friuli-Venezia Giulia;Database DEM;true
1350;Enrico Cattaneo;enrico.cattaneo@example.org;HCP - Diabetologo;Puglia;Database DEM;true
1351;Cristina Sala;cristina.sala@example.org;HCP - Diabetologo;Liguria;Database DEM;true
1352;Rosanna Fontana;rosanna.fontana@example.org;HCP - Diabetologo;Veneto;Database DEM;true
1353;Ludovica Gatti;ludovica.gatti@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
1354;Angela Ariemma;angela.ariemma@example.org;HCP - Diabetologo;Lazio;Database DEM;true
1355;Michela Toscano;michela.toscano@example.org;Altro / Industry;Lazio;Database DEM;true
1356;Gianluca Barbieri;gianluca.barbieri@example.org;Direzione sanitaria;Toscana;Database DEM;true
1357;Jacopo Bellini;jacopo.bellini@example.org;HCP - Diabetologo;Veneto;Database DEM;true
1358;Simone Gatti;simone.gatti@example.org;Altro / Industry;Emilia-Romagna;Database DEM;true
1359;Valeria Vitale;valeria.vitale@example.org;HCP - Endocrinologo;Emilia-Romagna;Database DEM;true
1360;Ilaria Grassi;ilaria.grassi@example.org;HCP - Diabetologo;Veneto;Database DEM;true
1361;Francesca Monaco;francesca.monaco@example.org;Farmacia ospedaliera;Toscana;Database DEM;true
1362;Caterina Giuliani;caterina.giuliani@example.org;Farmacia ospedaliera;Lombardia;Database DEM;true
1363;Vittorio Rossi;vittorio.rossi@example.org;Studio medico / Ambulatorio;Liguria;Database DEM;true
1364;Daniela Orlando;daniela.orlando@example.org;HCP - Endocrinologo;Sicilia;Database DEM;true
1365;Elena Cardone;elena.cardone@example.org;Altro / Industry;Sicilia;Database DEM;true
1366;Filippo Grassi;filippo.grassi@example.org;HCP - Infermiere / Educatore;Lazio;Database DEM;true
1367;Manuela Rizzo;manuela.rizzo@example.org;HCP - Infermiere / Educatore;Veneto;Database DEM;true
1368;Margherita Sorrentino;margherita.sorrentino@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1369;Roberto Ruggiero;roberto.ruggiero@example.org;HCP - Medico di medicina generale;Veneto;Database DEM;true
1370;Ilaria Denicola;ilaria.denicola@example.org;HCP - Diabetologo;Sicilia;Database DEM;true
1371;Giovanni Moretti;giovanni.moretti@example.org;HCP - Endocrinologo;Toscana;Database DEM;true
1372;Paola Deluca;paola.deluca@example.org;HCP - Infermiere / Educatore;Lazio;Database DEM;true
1373;Samuele Vitale;samuele.vitale@example.org;HCP - Diabetologo;Toscana;Database DEM;true
1374;Matteo Santoro;matteo.santoro@example.org;HCP - Diabetologo;Sardegna;Database DEM;true
1375;Gianluca Bernardi;gianluca.bernardi@example.org;HCP - Diabetologo;Liguria;Database DEM;true
1376;Martina Ferrari;martina.ferrari@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1377;Anna Pellegrini;anna.pellegrini@example.org;HCP - Diabetologo;Toscana;Database DEM;true
1378;Roberto Caruso;roberto.caruso@example.org;HCP - Medico di medicina generale;Emilia-Romagna;Database DEM;true
